test_case_number,label,answer_type,question,rephrased_question,revised_answer,gid,need_bank_statement,need_ulad,old_id
1,has_any,id_list,Scan the provided bank statements for any recurring payments or debit transactions made to known BNPL providers.,"Which list of transactions, if any, correspond to recurring payments or debit transactions made to known BNPL providers?",,0,1,0,1-1
1,consistency,boolean,Do the payroll deposit entries match with the primary borrower's employer names stated in employment history?,Do the payroll deposit entries match with the primary borrower's employer names stated in employment history?,Yes,1,1,1,1-2
1,has_any,id_list,Identify any large deposits on the borrower’s bank statements.,"Which list of deposits, if any, are considered as large deposits?","4 large deposit transactions:
1) July 11, 2025 - WIRE IN CREDIT - MARY HOMEOWNER GIFT - $50,000.00  
2) July 28, 2025 ACH CREDIT - FIDELITY 401K LOAN $60,000.00 
3) August 2, 2025 ACH CREDIT - COINBASE $20,000.00 
4) August 24, 2025 ONLINE TRANSFER FROM CHKG $5,000.00",2,1,0,1-3
1,has_any,id_list,Do the bank statements show evidence of rental payments?,"Which list of transactions, if any, correspond to rental payments?","2 transactions showing rental payments:
1) July 10, 2025: $2,400.00 - ZELLE PAYMENT - LANDLORD JULY RENT
2) August 1, 2025: $2,400.00 - ZELLE PAYMENT - LANDLORD AUG RENT",3,1,0,1-4
1,statement_integrity,boolean,Compare the borrower’s address on the account statement with the current address on the loan application.,Does the borrower’s address on the account statement match the current address on the loan application? Answer yes or no.,Matches,4,1,1,1-5
1,has_any,id_list,"Scan the provided bank statements for any recurring payments that indicate a liability for child support, alimony, or wage garnishment. If found, confirm whether the payments were specifically disclosed on the loan application.
","Which list of transactions, if any, correspond to recurring payments for child support, alimony, or wage garnishment that were not disclosed on the loan application?","Recurring payment identified - not disclosed on loan application:
July 5, 2025: $1,200.00 - ACH DEBIT CHILD SUPPORT DC OAG
August 5, 2025: $1,200.00 - ACH DEBIT CHILD SUPPORT DC OAG",5,1,1,1-6
1,"has_any, transaction_consistency",id_list,"Verify if a deposit matching the gift amount stated on the loan application is reflected in the borrower’s bank statements.
","Which list of transactions, if any, corresponds to a deposit matching the gift amount stated on the loan application?","Matching deposit:
July 11, 2025 WIRE IN CREDIT - MARY HOMEOWNER GIFT $50,000.00",6,1,1,1-7
1,has_any,id_list,"Review the account activity for any deposits that appear to be from a secured loan.
","Which list of transactions, if any, correspond to deposits that appear to be from a secured loan?","One transaction:
July 28, 2025 ACH CREDIT - FIDELITY 401K LOAN $60,000.00",7,1,0,1-8
1,transaction_consistency,boolean,"Verify that the payroll deposits on the bank statements exactly match the net pay amounts on any of the borrower’s corresponding pay stubs provided.
",Do the payroll deposits on the bank statements exactly match the net pay amounts on any of the borrower’s corresponding pay stubs? Answer yes or no.,"Mismatch:
The August 15, 2025 paystub from AAA shows a net pay of $3,650.00 with the corresponding bank deposit showing $3,050.00. This represents a $600.00 difference between the paystub and the actual deposit.",8,1,0,1-9
1,has_any,id_list,"Which deposits on the bank statement, if any, appear to originate from a cryptocurrency source?","Which list of transactions, if any, correspond to deposits that appear to originate from a cryptocurrency source?","One transaction:
August 2, 2025 ACH CREDIT - COINBASE $20,000.00",9,1,0,1-10
